contestID,choiceID,type,name,party,dispOrder
181,100,CD,Bruce Rauner Evelyn Sanguinetti,1,100
181,105,CD,Jeanne Ives Rich Morthland,1,105
182,110,CD,JB Pritzker Juliana Stratton,2,110
182,115,CD,Chris Kennedy Ra Joy,2,115
182,120,CD,Daniel Biss Litesa E. Wallace,2,120
182,130,CD,Bob Daiber Jonathan W. Todd,2,130
182,135,CD,Tio Hardiman Patricia Avery,2,135
182,140,CD,Robert Marshall Dennis Cole,2,140
191,145,CD,Erika Harold,1,145
191,150,CD,Gary Grasso,1,150
192,155,CD,Pat Quinn,2,155
192,160,CD,Renato Mariotti,2,160
192,165,CD,Scott Drury,2,165
192,170,CD,Nancy Rotering,2,170
192,175,CD,Kwame Raoul,2,175
192,180,CD,Jesse Ruiz,2,180
192,185,CD,Sharon Fairley,2,185
192,190,CD,Aaron Goldstein,2,190
201,195,CD,Jason Helland,1,195
202,200,CD,Jesse White,2,200
211,210,CD,Darlene Senger,1,210
212,215,CD,Susana A. Mendoza,2,215
221,220,CD,Jim Dodge,1,220
222,225,CD,Michael W. Frerichs,2,225
301,370,CD,Peter J. Roskam,1,370
302,375,CD,Kelly Mazeski,2,375
302,380,CD,Amanda Howland,2,380
302,385,CD,Sean Casten,2,385
302,390,CD,Jennifer Zordani,2,390
302,395,CD,Becky Anderson Wilkins,2,395
302,400,CD,Ryan Huffman,2,400
302,405,CD,Carole Cheney,2,405
321,435,CD,"Jitendra ""JD"" Diganvker",1,435
322,445,CD,Raja Krishnamoorthi,2,445
351,495,CD,Nick Stella,1,495
351,500,CD,"Constant G. ""Connor"" Vlakancic",1,500
352,505,CD,Bill Foster,2,505
381,570,CD,"Randall M. ""Randy"" Hultgren",1,570
382,575,CD,Victor Swanson,2,575
382,580,CD,John J. Hosta,2,580
382,585,CD,Matthew Brolley,2,585
382,590,CD,George Weber,2,590
382,595,CD,Lauren Underwood,2,595
382,600,CD,Jim Walz,2,600
382,605,CD,Daniel Roldan-Johnson,2,605
660,790,CD,Nancy Shepherdson,2,790
661,795,CD,Patrick Watson,2,795
661,800,CD,Jesse Medina Jr.,2,800
661,805,CD,Greg Hose,2,805
664,830,CD,Cristina Castro,2,830
665,840,CD,Michael C. Cudzik,2,840
670,870,CD,Maggie Wunderly,2,870
670,875,CD,Julia Kennedy Beckman,2,875
671,880,CD,"Kevin ""Duffy"" Blackburn",2,880
671,885,CD,Juan R. Thomas,2,885
676,915,CD,Kristina Zahorik,2,915
676,920,CD,Alison Squires,2,920
677,925,CD,Mark Guethle,2,925
677,930,CD,Peter Janko,2,930
1041,1155,CD,Dan McConchie,1,1155
1042,1160,CD,Tom Georges,2,1160
1111,1215,CD,Karen McConnaughay,1,1215
1112,1220,CD,Nancy Zettler,2,1220
1131,1225,CD,Dave Syverson,1,1225
1202,1265,CD,Linda Holmes,2,1265
1801,1860,CD,Andrew R. Cuming,1,1860
1802,1870,CD,Anna Moeller,2,1870
1861,1940,CD,Nic Zito,1,1940
1861,1945,CD,Tonia Jane Khouri,1,1945
1862,1950,CD,Karina Villa,2,1950
1871,1955,CD,Keith R. Wheeler,1,1955
1872,1960,CD,James G. Leslie,2,1960
1891,1970,CD,David McSweeney,1,1970
2021,2115,CD,Dan Ugaste,1,2115
2022,2120,CD,Richard Johnson,2,2120
2031,2125,CD,Allen Skillicorn,1,2125
2071,2180,CD,Jeff Keicher,1,2180
2072,2185,CD,Paul Stoddard,2,2185
2072,2190,CD,Howard Solomon,2,2190
2202,2310,CD,Linda Chapa LaVia,2,2310
2211,2315,CD,Patty Smith,1,2315
2212,2320,CD,Stephanie A. Kifowit,2,2320
2851,2810,CD,Christopher D. Mehochko,1,2810
3006,1,CD,"Stanton J. ""Stan"" Bond",1,1
3006,2,CD,"John A. ""Jack"" Cunningham",1,2
3007,1,CD,"Nicolas G. ""Nico"" Jimenez",2,1
3031,1,CD,Donald E. Kramer,1,1
3031,2,CD,Kevin Tindall,1,2
3032,1,CD,Ron Hain,2,1
3032,2,CD,"Willie M. Mayes, Sr.",2,2
3036,1,CD,David J. Rickert,1,1
3066,1,CD,Bill Lenert,1,1
3067,1,CD,Sandra A. King,2,1
3077,1,CD,Brian Gravenhorst,2,1
3077,2,CD,Monica Silva,2,2
3086,1,CD,Tom Koppie,1,1
3086,2,CD,Connie Von Keudell,1,2
3096,1,CD,John P. Martin,1,1
3097,1,CD,Jody M. Kanikula,2,1
3106,1,CD,Steve Weber,1,1
3106,2,CD,Philip Lewis,1,2
3116,1,CD,Barbara Wojnicki,1,1
3116,2,CD,Austin P. Lawler,1,2
3117,1,CD,Gerald M. Palmere,2,1
3117,2,CD,Lucas Strom,2,2
3132,1,CD,Janice Bennett,2,1
3132,2,CD,Deborah Allan,2,2
3141,1,CD,Kurt Robert Kojzarek,1,1
3142,1,CD,Thomas P. Gibbons,2,1
3142,2,CD,John Jack Shales,2,2
3142,3,CD,"Mohammad ""Mo"" Iqbal",2,3
3151,1,CD,Cliff Surges,1,1
3152,1,CD,Tara Jacobsen,2,1
3161,1,CD,Jim Patrician,1,1
3161,2,CD,Jonathan E. Radke,1,2
3162,1,CD,Christopher W. Kious,2,1
4021,3760,CD,Elizabeth Flood,1,3760
4021,3765,CD,"Thomas M. (""Tom"") Hartwell",1,3765
4021,3770,CD,David P. Kliment,1,3770
4022,3775,CD,Michael J. Noland,2,3775
4022,3780,CD,Lark Cowart,2,3780
4452,3750,CD,Rene Cruz,2,3750
4571,3755,CD,Clint Hull,1,3755
7369,1,CD,Patricia A. Dal Santo,1,1
7400,1,CD,Amanda Christensen,2,1
7499,1,CD,Roycealee J. Wood,1,1
7529,1,CD,Leslie Schermerhorn,1,1
8001,1,CD,Yes,,1
8001,2,CD,No,,2
8002,1,CD,Yes,,1
8002,2,CD,No,,2
8003,1,CD,Yes,,1
8003,2,CD,No,,2
8004,1,CD,Yes,,1
8004,2,CD,No,,2
8005,1,CD,Yes,,1
8005,2,CD,No,,2
8006,1,CD,Yes,,1
8006,2,CD,No,,2
8007,1,CD,Yes,,1
8007,2,CD,No,,2
8008,1,CD,Yes,,1
8008,2,CD,No,,2
8009,1,CD,Yes,,1
8009,2,CD,No,,2
8010,1,CD,Yes,,1
8010,2,CD,No,,2
8011,1,CD,Yes,,1
8011,2,CD,No,,2
8012,1,CD,Yes,,1
8012,2,CD,No,,2
8013,1,CD,Yes,,1
8013,2,CD,No,,2
8014,1,CD,Yes,,1
8014,2,CD,No,,2
9007,1,CD,Linda Pasetti-Olson,1,1
9010,1,CD,Rigoberto Mendez,2,1
9011,1,CD,Max L. Ludwig,1,1
9025,1,CD,Sal Abbate,1,1
9040,1,CD,Brian Frechmann,2,1
9042,1,WI,No Candidate Filed,,1
9044,1,CD,Howard R. Katz,2,1
9046,1,CD,Jody M. Kanikula,2,1
9054,1,CD,Diane Christine Kertz,2,1
9056,1,CD,Tammy L. Caltagirone,2,1
9059,1,CD,Ellen Nottke,1,1
9065,1,CD,Sylvia S. Keppel,1,1
9067,1,CD,Judy Fanizza,1,1
9068,1,CD,John Dodo,2,1
9072,1,CD,Howard S. Miller,2,1
9076,1,CD,Michael Lowery,2,1
9080,1,CD,Mark Guethle,2,1
9080,2,CD,Adrien Aaron,2,2
9091,1,CD,David L. Anderson,1,1
9092,1,CD,Angela M. Price,2,1
9093,1,CD,Rodney L. Feece,1,1
9095,1,CD,Dennis C. Ryan,1,1
9095,2,CD,Jeffrey D. Walter,1,2
9096,1,CD,Franklin D. Klaus,2,1
9097,1,CD,"Andrew E. ""Drew"" Frasz",1,1
9098,1,CD,Heidi DeMarco,2,1
9099,1,CD,Vicki S. Danklefsen,1,1
9100,1,CD,Megan Bartlett,2,1
9101,1,CD,Michael D. Haddad,1,1
9113,1,CD,Terry Hunt,1,1
9130,1,CD,"Nicolas G. ""Nico"" Jimenez",2,1
9131,1,CD,Kathryn E. Bolger,1,1
9132,1,CD,Charles Cappell,2,1
9133,1,CD,Alan D. Rottmann,1,1
9135,1,CD,Richard Johansen,1,1
9137,1,CD,Mike Carlson,1,1
9139,1,CD,William J. Paskey Jr.,1,1
9143,1,CD,Thomas G. Mollenhauer,1,1
9145,1,CD,Cynthia S. Galloway,1,1
9147,1,CD,Barbara Wojnicki,1,1
9149,1,CD,Nicholas Sam Gallucci,1,1
9160,1,CD,Mary Warner,2,1
9166,1,CD,Joseph C. Wasner,2,1
9171,1,CD,William C. Zelsdorf,1,1
9172,1,CD,Joseph R. Haimann,2,1
9173,1,CD,David W. Williams,1,1
9177,1,CD,Margaret Scalfaro,1,1
9179,1,CD,John F. Marsala,1,1
9181,1,CD,Allen Skillicorn,1,1
9183,1,CD,Virginia Gregg,1,1
9187,1,CD,Jonathan E. Radke,1,1
9189,1,CD,Mary Kay Bocain,1,1
9193,1,CD,"Robert ""Cowboy"" Krebiehl",1,1
9194,1,CD,Jacob D. Serafini,2,1
9198,1,CD,Paul J. Setze,2,1
9199,1,CD,Michael J. Tennis,1,1
