precID,precname,splitID,splitname
1,AU0001,1,1 DEM
1,AU0001,2,1 REP
1,AU0001,3,1 NP
1,AU0001,4,FED11 DEM
1,AU0001,5,FED11 REP
6,AU0002,6,2 DEM
6,AU0002,7,2 REP
6,AU0002,8,2 NP
6,AU0002,9,FED11 DEM
6,AU0002,10,FED11 REP
11,AU0003,11,3 DEM
11,AU0003,12,3 REP
11,AU0003,13,3 NP
11,AU0003,14,FED11 DEM
11,AU0003,15,FED11 REP
11,AU0003,16,4 DEM
11,AU0003,17,4 REP
11,AU0003,18,4 NP
19,AU0004,19,5 DEM
19,AU0004,20,5 REP
19,AU0004,21,5 NP
19,AU0004,22,FED11 DEM
19,AU0004,23,FED11 REP
24,AU0005,24,6 DEM
24,AU0005,25,6 REP
24,AU0005,26,6 NP
24,AU0005,27,FED11 DEM
24,AU0005,28,FED11 REP
29,AU0006,29,7 DEM
29,AU0006,30,7 REP
29,AU0006,31,7 NP
29,AU0006,32,FED11 DEM
29,AU0006,33,FED11 REP
34,AU0007,34,8 DEM
34,AU0007,35,8 REP
34,AU0007,36,8 NP
34,AU0007,37,FED11 DEM
34,AU0007,38,FED11 REP
39,AU0008,39,9 DEM
39,AU0008,40,9 REP
39,AU0008,41,9 NP
39,AU0008,42,FED11 DEM
39,AU0008,43,FED11 REP
44,AU0009,44,10 DEM
44,AU0009,45,10 REP
44,AU0009,46,10 NP
44,AU0009,47,FED11 DEM
44,AU0009,48,FED11 REP
49,AU0010,49,11 DEM
49,AU0010,50,11 REP
49,AU0010,51,11 NP
49,AU0010,52,FED11 DEM
49,AU0010,53,FED11 REP
49,AU0010,54,12 DEM
49,AU0010,55,12 REP
49,AU0010,56,12 NP
57,AU0011,57,13 DEM
57,AU0011,58,13 REP
57,AU0011,59,13 NP
57,AU0011,60,FED11 DEM
57,AU0011,61,FED11 REP
62,AU0012,62,14 DEM
62,AU0012,63,14 REP
62,AU0012,64,14 NP
62,AU0012,65,FED11 DEM
62,AU0012,66,FED11 REP
67,AU0013,67,15 DEM
67,AU0013,68,15 REP
67,AU0013,69,15 NP
67,AU0013,70,FED11 DEM
67,AU0013,71,FED11 REP
72,AU0014,72,16 DEM
72,AU0014,73,16 REP
72,AU0014,74,16 NP
72,AU0014,75,FED11 DEM
72,AU0014,76,FED11 REP
77,AU0015,77,17 DEM
77,AU0015,78,17 REP
77,AU0015,79,17 NP
77,AU0015,80,FED11 DEM
77,AU0015,81,FED11 REP
82,BA0001,82,18 DEM
82,BA0001,83,18 REP
82,BA0001,84,FED14 DEM
82,BA0001,85,FED14 REP
86,BA0002,86,19 DEM
86,BA0002,87,19 REP
86,BA0002,88,FED14 DEM
86,BA0002,89,FED14 REP
86,BA0002,90,20 DEM
86,BA0002,91,20 REP
92,BA0003,92,21 DEM
92,BA0003,93,21 REP
92,BA0003,94,FED14 DEM
92,BA0003,95,FED14 REP
92,BA0003,96,22 DEM
92,BA0003,97,22 REP
98,BA0004,98,23 DEM
98,BA0004,99,23 REP
98,BA0004,100,FED14 DEM
98,BA0004,101,FED14 REP
102,BA0005,102,24 DEM
102,BA0005,103,24 REP
102,BA0005,104,FED14 DEM
102,BA0005,105,FED14 REP
106,BA0006,106,25 DEM
106,BA0006,107,25 REP
106,BA0006,108,FED14 DEM
106,BA0006,109,FED14 REP
110,BA0007,110,26 DEM
