cont_ch,count
1041_1155,0
1042_1160,0
1111_1215,0
1112_1220,0
1131_1225,0
1202_1265,0
1801_1860,0
1802_1870,0
181_100,0
181_105,0
182_110,0
182_115,0
182_120,0
182_130,0
182_135,0
182_140,0
1861_1940,0
1861_1945,0
1862_1950,0
1871_1955,0
1872_1960,0
1891_1970,0
191_145,0
191_150,0
192_155,0
192_160,0
192_165,0
192_170,0
192_175,0
192_180,0
192_185,0
192_190,0
201_195,0
2021_2115,0
2022_2120,0
202_200,0
2031_2125,0
2071_2180,0
2072_2185,0
2072_2190,0
211_210,0
212_215,0
2202_2310,0
2211_2315,0
2212_2320,0
221_220,0
222_225,0
2851_2810,0
3006_1,0
3006_2,0
3007_1,0
301_370,0
302_375,0
302_380,0
302_385,0
302_390,0
302_395,0
302_400,0
302_405,0
3031_1,0
3031_2,0
3032_1,0
3032_2,0
3036_1,0
3066_1,0
3067_1,0
3077_1,0
3077_2,0
3086_1,0
3086_2,0
3096_1,0
3097_1,0
3106_1,0
3106_2,0
3116_1,0
3116_2,0
3117_1,0
3117_2,0
3132_1,0
3132_2,0
3141_1,0
3142_1,0
3142_2,0
3142_3,0
3151_1,0
3152_1,0
3161_1,0
3161_2,0
3162_1,0
321_435,0
322_445,0
351_495,0
351_500,0
352_505,0
381_570,0
382_575,0
382_580,0
382_585,0
382_590,0
382_595,0
382_600,0
382_605,0
4021_3760,0
4021_3765,0
4021_3770,0
4022_3775,0
4022_3780,0
4452_3750,0
4571_3755,0
660_790,0
661_795,0
661_800,0
661_805,0
664_830,0
665_840,0
670_870,0
670_875,0
671_880,0
671_885,0
676_915,0
676_920,0
677_925,0
677_930,0
7369_1,0
7400_1,0
7499_1,0
7529_1,0
8001_1,0
8001_2,0
8002_1,0
8002_2,0
8003_1,0
8003_2,0
8004_1,0
8004_2,0
8005_1,0
8005_2,0
8006_1,0
8006_2,0
8007_1,0
8007_2,0
8008_1,0
8008_2,0
8009_1,0
8009_2,0
8010_1,0
8010_2,0
8011_1,0
8011_2,0
8012_1,0
8012_2,0
8013_1,0
8013_2,0
8014_1,0
8014_2,0
9007_1,0
9010_1,0
9011_1,0
9025_1,0
9040_1,0
9042_1,0
9044_1,0
9046_1,0
9054_1,0
9056_1,0
9059_1,0
9065_1,0
9067_1,0
9068_1,0
9072_1,0
9076_1,0
9080_1,0
9080_2,0
9091_1,0
9092_1,0
9093_1,0
9095_1,0
9095_2,0
9096_1,0
9097_1,0
9098_1,0
9099_1,0
9100_1,0
9101_1,0
9113_1,0
9130_1,0
9131_1,0
9132_1,0
9133_1,0
9135_1,0
9137_1,0
9139_1,0
9143_1,0
9145_1,0
9147_1,0
9149_1,0
9160_1,0
9166_1,0
9171_1,0
9172_1,0
9173_1,0
9177_1,0
9179_1,0
9181_1,0
9183_1,0
9187_1,0
9189_1,0
9193_1,0
9194_1,0
9198_1,0
9199_1,0
9206_1,0
9207_1,0
9213_1,0
9214_1,0
9219_1,0
9222_1,0
9223_1,0
9226_1,0
9228_1,0
9240_1,0
9241_1,0
9242_1,0
9244_1,0
9244_2,0
9246_1,0
9247_1,0
9248_1,0
9250_1,0
9253_1,0
9254_1,0
9255_1,0
9257_1,0
9260_1,0
9264_1,0
9267_1,0
9270_1,0
9272_1,0
9273_1,0
9284_1,0
9287_1,0
9287_3,0
9289_1,0
9291_1,0
9292_1,0
9294_1,0
9295_1,0
9297_1,0
9299_1,0
9300_1,0
9302_1,0
9306_1,0
9308_1,0
9312_1,0
9313_1,0
9318_1,0
9319_1,0
9321_1,0
9322_1,0
9325_1,0
9325_2,0
9327_1,0
9328_1,0
9332_1,0
9333_1,0
9334_1,0
9335_1,0
9336_1,0
9339_1,0
9342_1,0
9342_2,0
9344_1,0
9346_1,0
9347_1,0
9349_1,0
9351_1,0
9352_1,0
9356_1,0
9357_1,0
9370_1,0
9377_1,0
9378_1,0
9380_1,0
9381_1,0
9384_1,0
9385_1,0
9386_1,0
9387_1,0
9389_1,0
9390_1,0
9391_1,0
9391_2,0
9392_1,0
9398_1,0
9403_1,0
9405_1,0
9420_1,0
9422_1,0
9424_1,0
9430_1,0
9442_1,0
9443_1,0
9444_1,0
9452_1,0
9459_1,0
9464_1,0
9466_1,0
9482_1,0
9483_1,0
9486_1,0
9488_1,0
9490_1,0
9494_1,0
9495_1,0
9496_1,0
9500_1,0
9506_1,0
9508_1,0
9510_1,0
9511_1,0
9512_1,0
9513_1,0
9516_1,0
9521_1,0
9523_1,0
9524_1,0
9527_1,0
9529_1,0
9531_1,0
9532_1,0
9534_1,0
9536_1,0
9538_1,0
9539_1,0
9542_1,0
9547_1,0
9562_1,0
9563_1,0
9564_1,0
9566_1,0
9568_1,0
9569_1,0
9570_1,0
9571_1,0
9572_1,0
9584_1,0
