contestID,choiceID,precID,precname,splitID,splitname,count,cont_ch
182,110,1,AU0001,1,1 DEM,0,182_110
182,115,1,AU0001,1,1 DEM,0,182_115
182,120,1,AU0001,1,1 DEM,0,182_120
182,130,1,AU0001,1,1 DEM,0,182_130
182,135,1,AU0001,1,1 DEM,0,182_135
182,140,1,AU0001,1,1 DEM,0,182_140
192,155,1,AU0001,1,1 DEM,0,192_155
192,160,1,AU0001,1,1 DEM,0,192_160
192,165,1,AU0001,1,1 DEM,0,192_165
192,170,1,AU0001,1,1 DEM,0,192_170
192,175,1,AU0001,1,1 DEM,0,192_175
192,180,1,AU0001,1,1 DEM,0,192_180
192,185,1,AU0001,1,1 DEM,0,192_185
192,190,1,AU0001,1,1 DEM,0,192_190
202,200,1,AU0001,1,1 DEM,0,202_200
212,215,1,AU0001,1,1 DEM,0,212_215
222,225,1,AU0001,1,1 DEM,0,222_225
352,505,1,AU0001,1,1 DEM,0,352_505
670,870,1,AU0001,1,1 DEM,0,670_870
670,875,1,AU0001,1,1 DEM,0,670_875
671,880,1,AU0001,1,1 DEM,0,671_880
671,885,1,AU0001,1,1 DEM,0,671_885
1202,1265,1,AU0001,1,1 DEM,0,1202_1265
2202,2310,1,AU0001,1,1 DEM,0,2202_2310
3007,1,1,AU0001,1,1 DEM,0,3007_1
3032,1,1,AU0001,1,1 DEM,0,3032_1
3032,2,1,AU0001,1,1 DEM,0,3032_2
4022,3775,1,AU0001,1,1 DEM,0,4022_3775
4022,3780,1,AU0001,1,1 DEM,0,4022_3780
4452,3750,1,AU0001,1,1 DEM,0,4452_3750
8006,1,1,AU0001,1,1 DEM,0,8006_1
8006,2,1,AU0001,1,1 DEM,0,8006_2
8014,1,1,AU0001,1,1 DEM,0,8014_1
8014,2,1,AU0001,1,1 DEM,0,8014_2
181,100,1,AU0001,2,1 REP,0,181_100
181,105,1,AU0001,2,1 REP,0,181_105
191,145,1,AU0001,2,1 REP,0,191_145
191,150,1,AU0001,2,1 REP,0,191_150
201,195,1,AU0001,2,1 REP,0,201_195
211,210,1,AU0001,2,1 REP,0,211_210
221,220,1,AU0001,2,1 REP,0,221_220
351,495,1,AU0001,2,1 REP,0,351_495
351,500,1,AU0001,2,1 REP,0,351_500
3006,1,1,AU0001,2,1 REP,0,3006_1
3006,2,1,AU0001,2,1 REP,0,3006_2
3031,1,1,AU0001,2,1 REP,0,3031_1
3031,2,1,AU0001,2,1 REP,0,3031_2
3036,1,1,AU0001,2,1 REP,0,3036_1
7369,1,1,AU0001,2,1 REP,0,7369_1
4021,3760,1,AU0001,2,1 REP,0,4021_3760
4021,3765,1,AU0001,2,1 REP,0,4021_3765
4021,3770,1,AU0001,2,1 REP,0,4021_3770
8006,1,1,AU0001,2,1 REP,0,8006_1
